EventId  Status  RequestTime EndTime TurnaroundTime  Pad 
1  D 0  4  4  A 
8  L 2  6  4  A 
675  L 4  8  4  A 
528  L 6  10  4  A 
320  L 8  12  4  A 
344  L 10  14  4  A 
562  L 12  16  4  A 
623  D 6  20  14  A 
557  L 14  22  8  A 
660  L 16  24  8  A 
169  L 18  26  8  A 
85  L 20  28  8  A 
456  L 22  30  8  A 
193  L 28  32  4  A 
700  L 30  34  4  A 
123  L 34  36  2  A 
760  L 36  38  2  A 
707  L 38  40  2  A 
26  L 40  42  2  A 
668  D 10  46  36  A 
684  L 44  48  4  A 
347  L 46  50  4  A 
500  L 48  52  4  A 
252  L 50  54  4  A 
73  L 52  56  4  A 
615  L 56  58  2  A 
409  L 58  60  2  A 
355  L 60  62  2  A 
288  D 14  66  52  A 
620  L 64  68  4  A 
819  L 66  70  4  A 
491  L 68  72  4  A 
91  L 72  74  2  A 
225  L 74  76  2  A 
972  L 76  78  2  A 
135  E 80  80  0  A 
849  L 80  82  2  A 
135  E 80  84  4  B 
631  L 82  84  2  A 
19  L 88  90  2  A 
14  L 90  92  2  A 
803  L 92  94  2  A 
656  L 94  96  2  A 
651  L 96  98  2  A 
683  L 98  100  2  A 
15  L 100  102  2  A 
477  L 102  104  2  A 
137  L 104  106  2  A 
238  L 106  108  2  A 
709  L 108  110  2  A 
717  L 110  112  2  A 
453  L 114  116  2  A 
451  L 116  118  2  A 
479  L 118  120  2  A 
699  A 116  130  14  B 
